title,tagline
Conan the Destroyer,The most powerful legend of all is back in a new adventure.
Fire and Ice,The end of mankind as we know it.
Forbidden Zone,
The Formula,Big Oil. Big Money. Big Mystery. Everyone's out to make a killing.
Impostor,"In the Future, not everyone is who they seem to be."
Kung Pow: Enter the Fist,
Snow Dogs,Get ready for mush hour!
48 Hrs.,One Cop. One Con. No Mercy.
Italian for Beginners,
Blankman,
Brainstorm,...The Ultimate Experience
Dragon: The Bruce Lee Story,The Mystery. The Life. The Love. The Legend
The Enigma of Kaspar Hauser,
4 for Texas,The far out story of the far west
Little Dieter Needs to Fly,"In 1966, Dieter Dengler was shot down over Laos, captured, and, down to 85 pounds, escaped."
M*A*S*H,M*A*S*H Gives A D*A*M*N.
Mrs. Soffel,A true story
Seconds,
One-Eyed Jacks,
The Count of Monte Cristo,Prepare for adventure. Count on revenge.
The Mothman Prophecies,What do you see?
A Walk to Remember,She didn't belong. She was misunderstood. And she would change him forever.
Maelström,
Metropolis,Welcome to Metropolis
The Son's Room,
Storytelling,From the director of Happiness and Welcome To The Dollhouse.
Waydowntown,Welcome to life at the bottom of the food chain.
The Adventures of Huck Finn,For anyone who has ever dreamed of running away from it all
Young at Heart,
Slackers,When all else fails... cheat.
Birthday Girl,
Rare Birds,Fortune can make a man do some pretty fowl things.
Carmen Jones,
Get Out Your Handkerchiefs,
Going Places,
Big Fat Liar,The truth is never overrated
Collateral Damage,What would you do if you lost everything?
Rollerball,Go Ballistic
"Scotland, Pa.",
Baby's Day Out,No bib. No crib. No problem.
Bright Eyes,
Dimples,
Heidi,Shirley's A Little Swiss Miss In The Loveliest Story of Her Career !
Richard Pryor: Here and Now,
Rookie of the Year,The Chicago Cubs needed a miracle... They got Henry Rowengartner.
The Sandlot,A piece of paradise a half block wide and a whole summer long.
Don't Look Now,Pass the warning.
Crossroads,Dreams change. Friends are forever
Hart's War,"Beyond Courage, Beyond Honor."
John Q,Give a father no options and you leave him no choice.
Return to Never Land,The Classic Continues
Super Troopers,
The Good Son,Evil has many faces
The Bad and the Beautiful,I took you out of the gutter . . . I can fling you back!
Funny Lady,How Lucky Can You Get
Saturday Night and Sunday Morning,Saturday night you have your fling at life...and Sunday morning you face up to it!
Sleuth,"If it was murder, where's the body?"
Stroszek,
Summer of '42,"In everyone's life there's a ""Summer of '42"""
Used Cars,"Like new, great looking and fully loaded with laughs."
Dragonfly,When someone you love dies... are they gone forever?
Queen of the Damned,This time there are no interviews.
Mean Machine,"It's Not Just About Football, It's About Pride Inside!"
Monsoon Wedding,"A stressed father, a bride-to-be with a secret, a smitten event planner, and relatives from around the world create much ado about the preparations for an arranged marriage in India."
Scratch,
The Bad News Bears,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.
The Bad News Bears in Breaking Training,The Bad News Bears are one year older and one year wilder.
The Firemen's Ball,A Masterpiece from Czechoslovakia
Vampire Hunter D: Bloodlust,
Wild Strawberries,
40 Days and 40 Nights,Easier said than done.
We Were Soldiers,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.
Trouble Every Day,The ability to love. The inability to love... The hunger to love.
FernGully: The Last Rainforest,Do you believe in humans?
Intersection,Make every move as if it were your last.
A Troll in Central Park,Believe in Yourself and You Can Do Anything!
Zombie Flesh Eaters,We are going to eat you!
My Favorite Brunette,He's a hilarious hawkshaw... with a case on Dottie!
Royal Wedding,
Scarlet Street,The things she does to men can end only one way - in murder!
All About the Benjamins,Money can make people do funny things.
The Time Machine,The greatest adventure THROUGH all time!
Full Frontal,Everybody Needs A Release
The Magnificent Ambersons,
Gloria,And she's out to beat the mob at their own game.
The Great Rock 'n' Roll Swindle,
Hawk the Slayer,Two brothers locked in deadly combat till the end of time!
Honeysuckle Rose,For 20 years he's been singing to the country. But he never figured he'd be living his own love songs.
Hopscotch,"The most dangerous man in the world. He's about to expose the CIA, the FBI, the KGB...and himself."
The Jazz Singer,His story will make you cry. His music will make you sing. His triumph will make you cheer.
The Long Good Friday,Who lit the fuse that tore Harold's world apart?
The Long Riders,"""All the world likes an outlaw. For some damn reason they remember 'em."" - Jesse James"
Mon Oncle d'Amérique,
The Monster Club,You'll meet some interesting people and hear some great songs as The Monster Club
Motel Hell,You might just die...laughing!
The Ninth Configuration,How do you fight a war called madness?
Burial Ground,The gates of hell have opened
"Oh, God!",It's true. People have trouble remembering My Words. Moses had such a bad memory I had to give him tablets.
Ice Age,They came. They thawed. They conquered.
Resident Evil,A secret experiment. A deadly virus. A fatal mistake.
Showtime,Lights. Camera. Aggravation.
Kissing Jessica Stein,"When it comes to love, sometimes she just can't think straight."
Pauline & Paulette,
Promises,
Y Tu Mamá También,Life has its ways of teaching. Life has its ways to confuse us. Life has its ways to move us. Life has its ways to amaze. Life has its ways to hurt us. Life has its ways to heal. Life has its ways to inspire.
All the Right Moves,He has everything at stake. He can't afford to lose. He's got to make all the right moves.
Barabbas,The man of violence in whose place Christ died
I Think I Do,
The Paleface,Like Merry Xmas and Happy New Year...They belong together!
Road to Morocco,You'll Shriek At These Shieks! . . . trying the double - Oh! on Sheikess Dorothy Lamour!
Road to Singapore,Ready For Fun . . Fight . . or a South Seas Romance . . . ! They find them all on the . . .
Road to Utopia,
Road to Zanzibar,"IT'S THAT GLEESOME THREESOME AGAIN! Giving you your worth in mirth! Toping all the fun in ""Road to Singapore!"""
A Tale of Springtime,
Taps,"This school is our home, we think it's worth defending."
Return of the Secaucus Seven,
Seems Like Old Times,alone - at last...
Serial,"""Honor thy wife, and everyone else's."""
The Young Master,
Shogun Assassin,The legend of lone wolf and cub continues!
Smokey and the Bandit II,The Bandit is back and better than ever!
Smokey and the Bandit,What we have here is a total lack of respect for the law!
Smokey and the Bandit Part 3,Smokey's Back! And The Bandit is at it again!
Stir Crazy,Two jailbirds who just want out of the cage.
Blade II,Faster. Sharper. Deadlier.
Sorority Boys,
Stolen Summer,You saw the back-stabbing. Now see the final cut.
George Washington,
Clockstoppers,"The adventure of a lifetime, in a few mere seconds."
Clockstoppers,"The adventure of a lifetime, in a few mere seconds."
Death to Smoochy,Get ready for an unexpected hit.
Panic Room,
The Rookie,Sometimes dreams come back to life.
The Piano Teacher,Perversion at its wicked best!
30 YEARS TO LIFE,
Boxcar Bertha,Life made her an outcast. Love made her an outlaw.
Crimes of Passion,Never have two consenting adults consented to so much.
The Evil That Men Do,
Fraternity Vacation,"Astronomy major Wendell Tvedt has studied galaxies, charted planets and pondered the universe. But in Palm Springs, he'll encounter his first full moon."
Impromptu,
High Crimes,Everything you trust. Everything you know. May be a lie...
National Lampoon’s Van Wilder,Don't Graduate. Celebrate.
Lucky Break,
The Atomic Cafe,
Body and Soul,All for you...
Rashomon,"The husband, the wife...or the bandit?"
Slap Shot,Slap Shot out slaps... out swears... out laughs...
Changing Lanes,"An ambitious lawyer, a desperate father, they had no reason to meet, until today,"
Frailty,No Soul Is Safe.
The Sweetest Thing,A romantic comedy without the sugar.
The Cat's Meow,Some secrets won't stay buried.
Human Nature,In the Interest of Civilization... Conform.
My Big Fat Greek Wedding,Love is here to stay... so is her family.
3:10 to Yuma,The Lonesome Whistle of a Train... bringing the gallows closer to a desperado--the showdown nearer to his captor!
Bite the Bullet,
Breakout,Sentenced to 28 years in prison for a crime he never committed. Only two things can get him out - A lot of money and Charles Bronson!
Joe Versus the Volcano,An average Joe. An adventurous comedy.
"Rome, Open City",Powerful Portrayal of Dignity and Courage
Return of the Killer Tomatoes!,"They were out for blood, and rotten to the core. Now they're back ..."
Taking Care of Business,"Jimmy's finally got a new life. The trouble is, it's somebody else's."
Three Men and a Baby,They changed her diapers. She changed their lives.
Three Men and a Little Lady,
Murder by Numbers,The only flaw in their plan was her.
The Scorpion King,Warrior. Legend. King.
Chelsea Walls,
Enigma,Unlock the secret.
Nine Queens,Sticky & Square
Jason X,Evil has an upgrade.
Life or Something Like It,
Dogtown and Z-Boys,
Salton Sea,"If you're looking for the truth, you've come to the wrong place."
Bob le Flambeur,
Cadillac Man,If You Can't Trust a Car Salesman Who Can You Trust?
The Coca-Cola Kid,A movie felt never so refreshing!
Delirious,A Comedy about a Soap Opera Writer Who's Typing without a Ribbon
Husbands and Wives,
Lenny,Lenny's Time Has Finally Come!
Nomads,A Chilling Tale Of Supernatural Evil.
The Temp,Don't get mad. Get promoted.
Thief of Hearts,"In the night, secrets are stolen"
Wild Orchid,
Hollywood Ending,It's going to be a shot in the dark!
Spider-Man,With great power comes great responsibility.
The Big Sleep,
Butterflies Are Free,I Could Love You If You'd Let Me
Cactus Flower,The prickly stage success that convulsed audiences around the world... with all its barbed wit and the sharpest comedy cast of the year!
The Giant Spider Invasion,Creeping!...Crawling!...Crushing!
Iron Will,
Rambling Rose,Innocence has never been so seductive.
